time,omega_R,omega_L,u,omega,x,y,psi
15.0109,-6.738,1.3327,-0.27026500000000003,-2.017675,0.9839869921324123,1.0066546703589387,0.945194165
15.1107,-7.2611,2.7852,-0.22379499999999997,-2.511575,0.9845150957688629,0.9729989358145525,0.7438301999999998
15.2104,-7.5007,4.4215,-0.15396,-2.98055,0.9850510074282209,0.9394642367062817,0.4934261724999989
15.3109,-7.1781,5.988,-0.05950499999999997,-3.291525,0.9856115646342727,0.9057541105800357,0.19388089749999815
15.4109,-6.0948,7.0926,0.04988999999999999,-3.29685,0.9861142863329752,0.8723090899684985,-0.1352716025000007
15.5108,-4.3621,7.43,0.153395,-2.948025,0.9866110998487324,0.8390022922063874,-0.4646269175000003
15.6116,-2.418,7.0497,0.23158499999999999,-2.366925,0.9871186849137912,0.8055079851560119,-0.7617878374999989
15.7155,-0.7074,6.2985,0.279555,-1.7514750000000001,0.9875557543236074,0.7711051189621975,-1.0077113450000017
15.8112,0.5799,5.5112,0.304555,-1.2328249999999998,0.9876628279425036,0.7395347937866035,-1.1753275025
15.9109,1.4692,4.8515,0.316035,-0.8455750000000001,0.9880177562250344,0.7067791861664425,-1.2982401550000005
16.0105,2.0592,4.3523,0.32057500000000005,-0.5732749999999999,0.9883801634410454,0.6741969140164754,-1.3824594250000009
16.1109,2.4436,3.9916,0.32176000000000005,-0.387,0.9887522486012511,0.6415027152643997,-1.4400162350000012
16.2109,2.6913,3.7358,0.321355,-0.26112499999999994,0.989111291936216,0.6090968058668288,-1.4787162350000003
16.3107,2.8489,3.5544,0.32016500000000003,-0.17637499999999995,0.9894652549037517,0.5769218183902368,-1.5047765100000008
16.4107,2.9469,3.4245,0.31857,-0.11940000000000006,0.9898175355766196,0.5448587089864378,-1.5224140100000003
16.5105,3.0052,3.3294,0.31673,-0.08105000000000005,0.9901649507732871,0.5130449969031631,-1.5343301300000005
16.6106,3.0369,3.2577,0.31473,-0.055199999999999916,0.9905100722712017,0.48133182289115284,-1.5424432350000006
16.7113,3.0504,3.2014,0.31259,-0.03775000000000006,0.9908529146485224,0.44963549177801726,-1.5480018750000006
16.8115,3.0514,3.1551,0.310325,-0.025924999999999976,0.9911886529191456,0.41831348918426636,-1.5517844250000006
16.9109,3.0436,3.1152,0.30794000000000005,-0.017900000000000027,0.9915174165831502,0.38746785978459874,-1.5543613700000007
17.0114,3.0296,3.0793,0.305445,-0.01242500000000002,0.9918461515308505,0.3565211129011859,-1.5561603200000007
17.1102,3.0109,3.0457,0.30283,-0.008700000000000041,0.992165074825399,0.3263445824577859,-1.5573879100000008
17.2106,2.9886,3.0133,0.300095,-0.006175000000000042,0.9924853937359187,0.29594201236672124,-1.5582613900000009
17.3104,2.9636,2.9812,0.29724,-0.0043999999999999595,0.9927991770976744,0.26599411177257637,-1.558877655000001
17.4106,2.9363,2.949,0.294265,-0.003174999999999928,0.9931100629663725,0.2362122537295152,-1.559318535000001
17.511,2.907,2.9164,0.29117,-0.0023499999999999632,0.993417282865807,0.20666962791109877,-1.559637305000001
17.6101,2.8761,2.8831,0.28796,-0.0017500000000000295,0.9937159821156532,0.1778162175843249,-1.559870190000001
17.711,2.8436,2.8489,0.284625,-0.0013250000000000204,0.9940157800496885,0.14876259495214805,-1.560046765000001
17.8105,2.8096,2.8138,0.28117000000000003,-0.0010499999999999954,0.9943070208040378,0.12044390196201399,-1.5601786025000008
17.9105,2.7743,2.7776,0.277595,-0.0008249999999999648,0.9945950543405839,0.09232837536314355,-1.5602836025000009
18.0108,2.7378,2.7405,0.273915,-0.0006749999999999812,0.9948794781103663,0.0644870484157665,-1.560366350000001
18.1109,2.7001,2.7023,0.27012,-0.0005500000000000504,0.9951586949449935,0.03706957780482717,-1.5604339175000008
18.21,2.6612,2.6631,0.26621500000000003,-0.0004750000000000032,0.9954306299885901,0.01030206652813807,-1.5604884225000009
18.3109,2.6213,2.6229,0.26221,-0.00039999999999995595,0.9957027141710452,-0.016557649352411438,-1.560536350000001
18.4105,2.5803,2.5818,0.258105,-0.00037500000000001427,0.9959666764238256,-0.042672431655291214,-1.5605761900000008
18.5114,2.5384,2.5397,0.253905,-0.0003249999999999087,0.996229049160297,-0.06871390473638134,-1.5606140275000009
18.6103,2.4955,2.4967,0.24961000000000003,-0.000300000000000078,0.9964815204585318,-0.09382384022048396,-1.560646170000001
18.7106,2.4519,2.453,0.245245,-0.0002749999999999142,0.9967326253880546,-0.11885846410338159,-1.560676260000001
18.8106,2.4075,2.4085,0.24080000000000004,-0.00024999999999997247,0.9969780608705878,-0.14338173609625463,-1.560703760000001
18.9107,2.3624,2.3633,0.236285,-0.00022500000000003073,0.997218826405545,-0.16748461374325055,-1.5607287850000011
19.012,2.3167,2.3176,0.231715,-0.00022500000000003073,0.997457516563561,-0.1914190941948509,-1.5607515775000012
19.1108,2.2705,2.2713,0.22709000000000001,-0.00019999999999997797,0.9976852486940873,-0.21431140359398812,-1.560773807500001
19.2102,2.2238,2.2246,0.22242000000000003,-0.00019999999999997797,0.9979094927886797,-0.23688303580166625,-1.560793687500001
19.3105,2.1768,2.1775,0.21771500000000002,-0.00017500000000003624,0.9981306293072914,-0.25919066585076056,-1.560813747500001
19.4109,2.1294,2.1301,0.21297500000000003,-0.00017500000000003624,0.998347073838781,-0.2810481802742086,-1.560831317500001
19.5152,2.0819,2.0826,0.20822500000000002,-0.0001749999999999252,0.9985666006821677,-0.30326038806603134,-1.5608495700000011
19.611,2.0342,2.0349,0.203455,-0.00017500000000003624,0.9987633384502218,-0.3232073729445362,-1.5608663350000012
19.7104,1.9866,1.9871,0.198685,-0.00012500000000004174,0.9989624141998982,-0.3434298201628151,-1.5608837300000011
19.8108,1.9389,1.9395,0.19392,-0.00014999999999998348,0.9991588922464623,-0.3633768265712194,-1.5608962800000012
19.911,1.8914,1.8919,0.189165,-0.00012499999999998623,0.9993497518486708,-0.38280667324395246,-1.5609113100000012
20.0153,1.8441,1.8446,0.18443500000000002,-0.00012499999999998623,0.999543475472965,-0.40253563169936346,-1.5609243475000012
20.111,1.797,1.7975,0.17972500000000002,-0.00012500000000004174,0.9997165211256417,-0.4201852129456021,-1.560936310000001
20.2111,1.7503,1.7507,0.17505,-9.999999999998899e-05,0.9998926534232282,-0.43817482327358354,-1.560948822500001
20.3106,1.7039,1.7044,0.17041499999999998,-0.00012499999999998623,1.0000631743592314,-0.45559146356314717,-1.560958772500001
20.4108,1.658,1.6585,0.165825,-0.00012500000000004174,1.0002299011852518,-0.47266623262524915,-1.560971297500001
20.5109,1.6127,1.6131,0.16129000000000002,-9.999999999998899e-05,1.000391733843665,-0.4892645262603826,-1.5609838100000009
20.6144,1.5679,1.5683,0.15681,-9.999999999998899e-05,1.000554501661128,-0.5059572477510219,-1.5609941600000008
20.711,1.5237,1.5241,0.15239000000000003,-9.999999999998899e-05,1.0007020150428738,-0.5211043755043312,-1.5610038200000007
20.8107,1.4802,1.4806,0.14804,-9.999999999998899e-05,1.0008497960398652,-0.5362969398069444,-1.5610137900000007
20.9105,1.4374,1.4378,0.14376,-9.999999999998899e-05,1.000993326815769,-0.5510706346353219,-1.5610237700000007
21.0106,1.3954,1.3957,0.139555,-7.499999999999174e-05,1.001132954391898,-0.5654603332618869,-1.5610337800000007
21.1153,1.3541,1.3544,0.135425,-7.499999999999174e-05,1.0012748114727041,-0.5800710531462431,-1.5610416325000007
21.2108,1.3136,1.3139,0.13137500000000002,-7.499999999999174e-05,1.0014002515708962,-0.5930035323199139,-1.5610487950000007
21.3103,1.2739,1.2742,0.127405,-7.499999999999174e-05,1.001526921246563,-0.6060747310937571,-1.5610562575000007
21.4108,1.235,1.2353,0.123515,-7.499999999999174e-05,1.00165087938003,-0.6188783335793969,-1.5610637950000006
21.511,1.197,1.1973,0.11971500000000002,-7.499999999999174e-05,1.0017705778032524,-0.631253957747472,-1.5610713100000007
21.6107,1.1599,1.1601,0.11599999999999999,-4.999999999999449e-05,1.0018859020284336,-0.6431889861140085,-1.5610787875000007
21.7107,1.1236,1.1238,0.11237,-4.999999999999449e-05,1.0019981237337803,-0.6547884432797058,-1.5610837875000008
21.8106,1.0882,1.0884,0.10883000000000001,-4.999999999999449e-05,1.0021066532073948,-0.6660136816528999,-1.5610887825000008
21.9106,1.0537,1.0539,0.10538000000000002,-4.999999999999449e-05,1.0022117987762205,-0.6768961737231636,-1.5610937825000009
22.0108,1.0201,1.0203,0.10202,-4.999999999999449e-05,1.0023137460949847,-0.6874547575756021,-1.5610987925000008
22.1102,0.9873,0.9875,0.09874000000000001,-5.0000000000022256e-05,1.0024115882164073,-0.6975950735680763,-1.5611037625000008
22.2126,0.9554,0.9556,0.09555000000000001,-4.999999999999449e-05,1.0025090759909603,-0.7077055795924319,-1.5611088825000008
22.3105,0.9244,0.9245,0.092445,-2.4999999999997247e-05,1.002599204792647,-0.7170594904011657,-1.5611137775000008
22.4106,0.8942,0.8944,0.08943000000000001,-4.999999999999449e-05,1.002688552991644,-0.7263128035501538,-1.5611162800000007
22.5102,0.8649,0.865,0.086495,-2.4999999999997247e-05,1.0027742760522813,-0.7352196190556455,-1.5611212600000006
22.6106,0.8364,0.8366,0.08365,-4.999999999999449e-05,1.0028580429814415,-0.7439033130413975,-1.5611237700000007
22.7106,0.8087,0.8089,0.08088000000000001,-4.999999999999449e-05,1.0029384526807772,-0.7522679265728315,-1.5611287700000007
22.8107,0.7819,0.782,0.07819500000000001,-2.4999999999997247e-05,1.0030162203755302,-0.7603636410774258,-1.5611337750000007
22.9107,0.7559,0.756,0.07559500000000001,-2.4999999999997247e-05,1.0030915255352482,-0.7681827784624202,-1.5611362750000006
23.0105,0.7306,0.7307,0.073065,-2.4999999999997247e-05,1.0031641540246432,-0.7757268098673086,-1.5611387700000006
23.1104,0.7061,0.7062,0.07061500000000001,-2.5000000000025002e-05,1.003234395566293,-0.78302566538983,-1.5611412675000005
23.211,0.6824,0.6825,0.068245,-2.4999999999997247e-05,1.0033027312888034,-0.790129205708674,-1.5611437825000005
23.3105,0.6594,0.6595,0.065945,-2.4999999999997247e-05,1.0033680259521809,-0.7969192692769567,-1.5611462700000005
