t,omega_R,omega_L,u,omega
17.0114,3.0296,3.0793,0.305445,-0.01242500000000002
17.1102,3.0109,3.0457,0.30283,-0.008700000000000041
17.2106,2.9886,3.0133,0.300095,-0.006175000000000042
17.3104,2.9636,2.9812,0.29724,-0.0043999999999999595
17.4106,2.9363,2.949,0.294265,-0.003174999999999928
17.511,2.907,2.9164,0.29117,-0.0023499999999999632
17.6101,2.8761,2.8831,0.28796,-0.0017500000000000295
17.711,2.8436,2.8489,0.284625,-0.0013250000000000204
17.8105,2.8096,2.8138,0.28117000000000003,-0.0010499999999999954
17.9105,2.7743,2.7776,0.277595,-0.0008249999999999648
18.0108,2.7378,2.7405,0.273915,-0.0006749999999999812
18.1109,2.7001,2.7023,0.27012,-0.0005500000000000504
18.21,2.6612,2.6631,0.26621500000000003,-0.0004750000000000032
18.3109,2.6213,2.6229,0.26221,-0.00039999999999995595
18.4105,2.5803,2.5818,0.258105,-0.00037500000000001427
18.5114,2.5384,2.5397,0.253905,-0.0003249999999999087
18.6103,2.4955,2.4967,0.24961000000000003,-0.000300000000000078
18.7106,2.4519,2.453,0.245245,-0.0002749999999999142
18.8106,2.4075,2.4085,0.24080000000000004,-0.00024999999999997247
18.9107,2.3624,2.3633,0.236285,-0.00022500000000003073
19.012,2.3167,2.3176,0.231715,-0.00022500000000003073
19.1108,2.2705,2.2713,0.22709000000000001,-0.00019999999999997797
19.2102,2.2238,2.2246,0.22242000000000003,-0.00019999999999997797
19.3105,2.1768,2.1775,0.21771500000000002,-0.00017500000000003624
19.4109,2.1294,2.1301,0.21297500000000003,-0.00017500000000003624
19.5152,2.0819,2.0826,0.20822500000000002,-0.0001749999999999252
19.611,2.0342,2.0349,0.203455,-0.00017500000000003624
19.7104,1.9866,1.9871,0.198685,-0.00012500000000004174
19.8108,1.9389,1.9395,0.19392,-0.00014999999999998348
19.911,1.8914,1.8919,0.189165,-0.00012499999999998623
20.0153,1.8441,1.8446,0.18443500000000002,-0.00012499999999998623
