t,omega_R,omega_L,u,omega,x,y,psi
10.1149,0.157,0.1162,0.01366,0.0102,0.9677487441689221,0.9797373806727748,0.9135441874999992
10.2141,0.1516,0.1115,0.013155,0.010025,0.9684965121972758,0.9808719736847452,0.9145560274999992
10.3108,0.1464,0.1071,0.012675,0.009825,0.96919586116511,0.9819389872160158,0.9155254449999992
10.411,0.1414,0.1028,0.01221,0.0096499999999999,0.9698917309827778,0.9830059669775137,0.9165099099999993
10.5107,0.1366,0.0987,0.011765,0.009475,0.9705562526423122,0.9840304555308363,0.9174720149999993
10.6116,0.1319,0.0948,0.011335,0.0092749999999999,0.9712018849931946,0.9850311941880959,0.9184280424999993
10.7101,0.1274,0.091,0.01092,0.0091,0.971807079120366,0.9859738782057524,0.9193416299999994
10.8108,0.123,0.0873,0.010515,0.0089249999999999,0.9724009714899764,0.9869038814959744,0.9202579999999994
10.912,0.1188,0.0838,0.01013,0.00875,0.9729735435267086,0.9878053615366393,0.9211612099999994
11.0103,0.1148,0.0805,0.009765,0.008575,0.9735073940023665,0.988650333510516,0.9220213349999994
11.1115,0.1109,0.0772,0.009405,0.0084249999999999,0.9740353382956694,0.989490202686956,0.9228891249999994
11.2101,0.1071,0.0741,0.00906,0.00825,0.9745287652707564,0.9902797449727874,0.9237198299999995
11.3122,0.1035,0.0712,0.008735,0.0080749999999999,0.9750192183077667,0.9910685567584623,0.9245621549999995
11.4107,0.0999,0.0683,0.00841,0.0079,0.9754738357619653,0.9918033582562124,0.9253575424999995
11.5104,0.0965,0.0655,0.0081,0.00775,0.9759153020622983,0.9925205435846794,0.9261451724999995
11.611,0.0933,0.0629,0.00781,0.0075999999999999,0.9763426492788871,0.9932187195777491,0.9269248224999995
11.7124,0.0901,0.0604,0.007525,0.0074249999999999,0.9767564102400444,0.9938983519691742,0.9276954624999996
11.8107,0.087,0.0579,0.007245,0.0072749999999999,0.9771415901303258,0.9945340648362213,0.9284253399999995
11.9139,0.0841,0.0556,0.006985,0.007125,0.9775294109946698,0.9951776975320342,0.9291761199999995
12.0107,0.0812,0.0533,0.006725,0.0069749999999999,0.977878827925309,0.9957606561818428,0.9298658199999995
12.1104,0.0785,0.0512,0.006485,0.0068249999999999,0.9782239975897148,0.996339655837707,0.9305612274999995
12.2114,0.0758,0.0491,0.006245,0.006675,0.9785599943608285,0.9969061037254976,0.9312505524999994
12.3104,0.0732,0.0471,0.006015,0.0065249999999999,0.978875965726859,0.997441611183597,0.9319113774999994
12.4108,0.0708,0.0452,0.0058,0.0064,0.9791834856065711,0.99796546772077,0.9325664874999994
12.5108,0.0684,0.0434,0.00559,0.00625,0.9794776332095647,0.9984694252464139,0.9332064874999993
12.6106,0.066,0.0416,0.00538,0.0061,0.9797595979878824,0.99895483108727,0.9338302374999994
12.7108,0.0638,0.0399,0.0051849999999999,0.0059749999999999,0.9800310821893656,0.9994245492591614,0.9344414574999994
12.8101,0.0617,0.0383,0.005,0.0058499999999999,0.9802893345308156,0.9998739017004187,0.9350347749999994
12.9107,0.0596,0.0367,0.004815,0.0057249999999999,0.9805406584496023,1.0003135705849746,0.9356232849999995
13.0102,0.0576,0.0352,0.00464,0.0055999999999999,0.9807790580313759,1.0007330227655393,0.9361929224999994
13.1097,0.0556,0.0338,0.00447,0.00545,0.9810078970961754,1.0011378509058924,0.9367501224999994
13.2102,0.0537,0.0324,0.004305,0.005325,0.9812299013617567,1.001532219030929,0.9372978474999994
13.3104,0.0519,0.0311,0.00415,0.0052,0.9814422499939017,1.001911464712301,0.9378314124999995
13.4104,0.0502,0.0298,0.004,0.0051,0.9816458118070864,1.0022768297191271,0.9383514124999994
13.5116,0.0485,0.0286,0.003855,0.0049749999999999,0.9818434671485708,1.0026338440108953,0.9388675324999994
13.6104,0.0468,0.0274,0.00371,0.00485,0.9820287892028552,1.0029702020901514,0.9393590624999995
13.7105,0.0453,0.0263,0.00358,0.00475,0.9822088241717838,1.003298623749693,0.9398445474999995
13.8101,0.0437,0.0252,0.003445,0.004625,0.982380967232505,1.0036144492416494,0.9403176474999995
13.9111,0.0423,0.0242,0.003325,0.0045249999999999,0.9825483599548842,1.0039230387054614,0.9407847724999995
14.0117,0.0408,0.0232,0.0032,0.0044,0.9827086467392419,1.004220136767972,0.9412399874999995
14.1119,0.0395,0.0222,0.003085,0.004325,0.9828617993125718,1.0045052648981634,0.9416808674999995
14.2111,0.0381,0.0213,0.00297,0.0042,0.9830071877025001,1.0047779525478913,0.9421099074999995
